Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,roads,dump_sites,agricultural_fields,Air Quality,Latitude,Longitude
29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,34,4,3,,23.172905951670895,76.43235959094353
28.3,75.6,2.3,12.2,30.8,9.7,1.64,6.0,611,28,2,3,,21.41347526625696,75.08848137110814
23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,619,36,0,11,,17.628151443456115,82.02680714308859
27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,551,45,3,9,,20.72698629251019,75.78748267479588
26.5,70.7,6.9,16.0,21.9,5.6,1.01,12.7,303,27,2,4,,20.65098401785673,77.81011400248465
39.4,96.6,14.6,35.5,42.9,17.9,1.82,3.1,674,27,0,2,,25.005593482808738,76.18743982294367
41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,735,45,2,13,,18.865243717377833,78.29064995740289
31.0,59.6,5.0,16.8,24.2,13.6,1.38,6.3,443,37,2,2,,23.53806375747027,74.8780037810521
29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,486,25,2,7,,22.594728530483682,75.98156229774564
33.2,80.5,11.1,24.4,32.0,15.3,1.69,4.9,535,35,2,7,,19.559542053473887,79.40179830143899
26.3,65.7,1.3,5.5,18.3,5.9,0.85,13.0,529,25,3,6,,20.18698352865235,77.60429614056211
32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,519,25,1,9,,15.916374578683083,80.43207996332555
20.0,53.3,3.7,12.9,26.1,6.6,1.09,10.2,538,32,2,2,,24.307417617194396,83.0046096201986
28.6,53.7,28.9,34.0,23.2,4.5,1.02,11.0,508,10,2,13,,21.22618452797885,82.95648685143576
22.3,80.5,4.5,12.0,17.2,6.3,1.18,10.4,232,12,3,2,,24.55664399108229,82.47415849123271
32.0,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,24,2,5,,25.478948726665656,77.89379825501996
22.9,75.4,4.5,10.4,18.4,3.7,0.96,14.4,359,19,4,0,,18.27543335706939,74.09251101915272
37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,560,33,2,10,,24.068126899924742,74.26204777950639
34.7,59.3,9.0,15.7,28.5,7.1,1.52,6.1,437,20,1,13,,18.726525553307194,75.31183884340915
37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,803,15,1,14,,19.58920278632617,74.77162791229031
27.6,44.1,3.5,14.4,30.7,9.4,0.97,8.0,338,44,0,10,,25.44838350119526,81.60020423242497
27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,520,27,2,4,,25.255663675466067,81.3983702168346
25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10.0,536,30,4,6,,17.492956807613965,80.59335796516336
24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,461,15,1,4,,20.884493396992177,77.9786809159871
26.2,49.9,0.5,2.0,22.9,2.3,0.94,17.9,581,24,0,1,,21.898014192703826,78.17802432958486
22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,324,31,2,4,,20.032032136236918,77.92545855335493
30.0,69.2,2.0,3.9,15.3,5.2,1.09,10.1,297,18,0,9,,19.97918778443661,79.42764932143545
37.6,72.2,10.1,16.6,32.2,6.3,1.85,3.5,637,33,0,2,,25.17691294823497,83.7244176139946
29.6,65.6,3.4,9.3,20.6,2.9,1.03,10.2,452,23,3,0,,16.423004410767764,75.77731899317044
52.5,83.9,67.5,91.2,31.6,34.6,2.31,2.9,785,27,2,0,,19.51643080080082,83.16199677418557
44.7,97.9,34.6,57.3,28.1,22.6,1.78,3.5,562,23,3,9,,16.895743383287087,75.09761648227037
23.3,45.2,24.0,29.0,26.6,5.3,0.96,10.9,575,48,1,0,,24.89340031509259,79.1851681639869
35.4,100.2,20.5,33.2,34.4,11.7,1.85,5.1,440,29,1,4,,18.807324607900913,80.39771427237316
29.7,85.8,84.4,94.4,26.7,19.8,1.55,10.0,744,19,2,4,,18.560654311827303,74.14164606104215
21.8,79.6,7.1,16.8,14.5,6.0,0.91,10.8,455,38,4,7,,24.294637789126597,78.35434505674532
27.7,86.1,83.3,93.5,25.3,6.8,1.71,7.4,594,17,3,6,,19.00263467216131,74.60079171507688
27.5,78.9,30.2,34.1,15.3,3.0,0.98,11.1,472,32,1,7,,21.62250728180316,82.53166713678495
28.0,72.2,18.5,25.0,24.9,6.1,1.32,13.2,480,10,4,5,,22.495141266384376,75.66249635760012
22.2,50.0,2.3,8.4,23.5,3.7,0.96,10.2,547,16,1,2,,20.936441609250515,76.69925253900358
33.3,70.1,55.1,72.7,40.5,30.7,2.12,4.9,612,31,3,9,,20.119122910479945,78.1510254191694
37.5,83.7,3.1,2.2,39.5,29.2,2.61,2.5,898,37,1,0,,24.76281553582968,74.77999747754241
30.9,94.4,48.3,67.1,31.4,23.3,1.75,4.3,779,31,1,9,,23.906007639061606,82.09724172594834
39.3,78.9,68.9,85.2,43.7,13.0,1.7,8.5,570,28,2,10,,18.69368250160531,79.34846761036778
24.7,64.9,17.3,37.0,27.2,14.9,1.48,5.5,453,26,3,15,,16.99323547988268,75.98421654760477
27.8,62.8,8.7,13.2,29.7,15.8,1.4,8.1,604,15,1,2,,21.89819554773823,82.49707411537565
17.4,56.5,2.6,6.9,21.0,3.5,0.92,11.6,475,22,3,3,,19.509865053906648,77.13754772523312
18.1,70.1,3.1,8.1,19.7,5.8,1.18,12.9,273,25,2,6,,21.471698843209072,80.23179827612563
25.6,78.1,1.1,5.2,21.3,6.1,0.89,10.9,524,40,2,5,,15.507728691667477,75.57524010920595
22.4,69.3,2.2,8.4,19.6,3.0,0.92,10.2,339,33,2,9,,18.915978571400082,77.7139131448111
25.3,47.4,70.7,84.8,22.4,8.2,1.59,13.2,587,12,0,8,,20.277200801250387,76.7078920148727
42.1,89.8,12.1,35.3,41.4,30.4,2.67,2.8,861,33,5,4,,25.15762821138871,82.29732968628304
27.5,45.3,2.8,10.1,13.7,4.1,0.82,10.6,236,26,2,5,,25.157475217610763,80.07863008559609
32.6,65.1,4.1,19.3,28.0,14.5,1.45,6.3,509,23,2,9,,24.124235588577058,81.25015279246519
46.1,100.3,144.0,169.8,42.5,16.1,2.3,7.3,443,36,0,0,,17.56952065017667,75.72708787541562
33.5,81.2,23.4,56.5,34.2,27.2,1.95,3.7,600,40,4,5,,25.01214341030788,78.36938273597269
48.1,94.1,4.2,19.0,23.7,6.0,1.57,6.0,625,39,1,8,,24.10092696173185,76.97501698295855
31.6,76.7,21.4,26.9,30.1,17.4,1.29,7.6,663,21,1,1,,23.592034328171366,78.2282628790558
29.0,83.5,31.5,44.4,27.0,-2.8,1.49,5.7,538,26,5,0,,19.953314655511576,75.42898839007204
24.9,82.2,19.5,27.9,25.6,2.0,1.54,8.1,458,33,0,11,,18.091112077284997,81.14428048441394
27.7,99.4,17.8,29.9,37.5,9.9,1.74,5.4,588,39,2,5,,23.477420138701987,79.14669998586254
